U,V,Y,d,Time,time,latitude,longitude,number,step,isobaricInhPa,valid_time,r,temperature,u,v,speed,direction,system_torque_knm,generator_speed_rpm,degradation,cycle_factor
0.297769045,9.544668981,0.865226232,0.000206481,03/01/2023 08:00,01/04/2024 01:00,35.75,5.0,0,0 days,975,01/04/2024 01:00,34.21321,296.62402,-0.4923706,1.9891968,2.049227346,283.9025556,0.0,0.0,1.0,41.26660650909937
0.143285453,8.780226393,2.63072523,0.000197035,03/01/2023 09:00,01/04/2024 01:00,35.5,4.5,0,0 days,975,01/04/2024 01:00,28.310867,296.78027,2.9588013,1.4481812,3.294197007,206.0793731,73.00235836609704,341.4253494884962,1.0,41.26660650909937
0.030487361,9.023953077,11.25909141,0.00029562,03/01/2023 10:00,01/04/2024 01:00,35.5,4.75,0,0 days,975,01/04/2024 01:00,27.650711,297.5869,0.736145,2.4325562,2.54150332,253.1630306,0.0,0.0,1.0,41.26660650909937
0.07605869,8.08507332,4.197967273,0.000300671,03/01/2023 11:00,01/04/2024 01:00,35.5,5.0,0,0 days,975,01/04/2024 01:00,27.955399,297.26074,-0.6954956,3.0097046,3.0890186,283.0117572,64.19168863140703,320.1597392978509,1.0,41.26660650909937
0.133967141,7.409819236,2.142832776,0.000300708,03/01/2023 12:00,01/04/2024 01:00,35.25,4.5,0,0 days,975,01/04/2024 01:00,29.127274,297.13965,3.727356,2.6542358,4.575822378,215.4545211,140.85623298115854,474.25874991763345,1.0,41.26660650909937
0.178529404,7.531568508,2.163064262,0.000298974,03/01/2023 13:00,01/04/2024 01:00,35.25,4.75,0,0 days,975,01/04/2024 01:00,27.353836,297.96387,2.1345825,3.7138062,4.283549806,240.1110247,123.43701067509247,443.9663099861062,1.0,41.26660650909937
0.008479376,7.465944001,28.98674719,0.000307722,03/01/2023 14:00,01/04/2024 01:00,35.25,5.0,0,0 days,975,01/04/2024 01:00,27.150711,297.90723,0.016418457,3.6610718,3.661108615,269.7430528,90.17018913351663,379.4537138247459,1.0,41.26660650909937
0.034908633,10.69333297,10.09740168,0.000205745,03/01/2023 15:00,01/04/2024 01:00,35.0,4.5,0,0 days,975,01/04/2024 01:00,31.314774,297.14746,3.062317,3.2040405,4.432116981,226.295613,132.14787476234685,459.36447821132253,1.0,41.26660650909937
0.023515725,10.62776844,14.37906769,0.000200863,03/01/2023 16:00,01/04/2024 01:00,35.0,4.75,0,0 days,975,01/04/2024 01:00,29.013992,297.75293,2.7576294,4.039978,4.891415148,235.6831313,160.95586342981179,506.96819977270957,1.0,41.26660650909937
0.082547094,9.862614956,4.289835519,0.000196023,03/01/2023 17:00,01/04/2024 01:00,35.0,5.0,0,0 days,975,01/04/2024 01:00,27.920242,297.87988,1.5662231,3.5849,3.912104652,246.3997477,102.95766436585387,405.46806861912887,1.0,41.26660650909937
0.083908921,10.00311569,3.842571122,0.000197922,03/01/2023 18:00,01/04/2024 01:00,34.75,4.5,0,0 days,975,01/04/2024 01:00,32.420242,296.72754,3.0232544,2.6034546,3.989742225,220.7331584,107.08470089688429,413.51477480598317,1.0,41.26660650909937
0.120853991,9.454886789,2.944513814,0.000200191,03/01/2023 19:00,01/04/2024 01:00,34.75,4.75,0,0 days,975,01/04/2024 01:00,29.38118,297.26855,3.0759888,2.908142,4.233083627,223.3933519,120.54562426154727,438.73576885646986,1.0,41.26660650909937
0.11599661,9.602630984,3.594637237,0.000197916,03/01/2023 20:00,01/04/2024 01:00,34.75,5.0,0,0 days,975,01/04/2024 01:00,27.072586,297.55762,3.1726685,3.189392,4.498671664,225.150609,136.14645839559216,466.26250398967505,1.0,41.26660650909937
